name,address,district,leasehold,property_type,year,rooms,price,bathrooms,price_psf,sqf_list,link,scrape_date
 Thomson Grand,17 Sin Ming Walk , D20, 99 years,Condo,2015 ,4 Beds,"$4,400,000",5 Baths,$855 psf,"5,145 sqft ",https://www.99.co/singapore/sale/property/thomson-grand-condo-kvur4tqj52HqAzJSXoJzpq#enquiry_position--1+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 Thomson View Condominium,7 Bright Hill Dr , D20, 99 years,Condo,1987 ,2 Beds,"$1,600,000",3 Baths,"$1,219 psf","1,313 sqft ",https://www.99.co/singapore/sale/property/thomson-view-condominium-condo-9VrCEUXrLqkujGSJZtdNvM#enquiry_position--2+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 Bishan Park Condominium,16 Sin Ming Walk , D20, 99 years,Condo,1994 ,3 Beds,"$1,838,000",2 Baths,"$1,388 psf","1,324 sqft ",https://www.99.co/singapore/sale/property/bishan-park-condominium-condo-kF9q7RfccQzRLbKMH7phK2#enquiry_position--3+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 The Gardens At Bishan,7 Sin Ming Walk , D20, 99 years,Condo,2004 ,2 Beds,"$1,500,888",2 Baths,"$1,700 psf",883 sqft ,https://www.99.co/singapore/sale/property/the-gardens-at-bishan-condo-KrawZihf7SYWGqesuLdjCn#enquiry_position--4+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 Clover By The Park,6 Bishan St 25 , D20, 99 years,Condo,2012 ,3 Beds,"$2,300,000",3 Baths,"$1,780 psf","1,292 sqft ",https://www.99.co/singapore/sale/property/clover-by-the-park-condo-GtZBvi5jMJ48Newuk3bMJo#enquiry_position--5+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 Clover By The Park,6 Bishan St 25 , D20, 99 years,Condo,2012 ,3 Beds,"$2,888,888",3 Baths,"$1,800 psf","1,605 sqft ",https://www.99.co/singapore/sale/property/clover-by-the-park-condo-QJ4kxiXaZ4tLJkn3K48eP4#enquiry_position--6+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 Thomson Three,45 Bright Hill Dr , D20, 99 years,Condo,2017 ,3 Beds,"$1,900,000",2 Baths,"$1,820 psf","1,044 sqft ",https://www.99.co/singapore/sale/property/thomson-three-condo-SinPKV4NtMV3SRyY2YPrjd#enquiry_position--7+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 Centro Residences,59 Ang Mo Kio Ave 8 , D20, 99 years,Condo,2014 ,2 Beds,"$1,598,000",2 Baths,"$1,833 psf",872 sqft ,https://www.99.co/singapore/sale/property/centro-residences-condo-iiLX9M4ezDLDHj9Y5EaPRw#enquiry_position--8+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 JadeScape,12 Shunfu Rd , D20, 99 years,Condo,2023 ,2 Beds,"$1,500,000",2 Baths,"$1,963 psf",764 sqft ,https://www.99.co/singapore/sale/property/jadescape-condo-6Lqatwz7eWoDQU27PPAqra#enquiry_position--9+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 JadeScape,4 Shunfu Rd , D20, 99 years,Condo,2023 ,2 Beds,"$1,500,000",2 Baths,"$1,963 psf",764 sqft ,https://www.99.co/singapore/sale/property/jadescape-condo-iUVCKhGpf4uLSxNqDWinkt#enquiry_position--10+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 JadeScape,4 Shunfu Rd , D20, 99 years,Condo,2023 ,4 Beds,"$2,880,000",3 Baths,"$2,027 psf","1,421 sqft ",https://www.99.co/singapore/sale/property/jadescape-condo-nrxhtdYSTa4brd4Uqd9UHX#enquiry_position--11+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 JadeScape,16 Shunfu Rd , D20, 99 years,Condo,2023 ,3 Beds,"$1,868,000",2 Baths,"$2,066 psf",904 sqft ,https://www.99.co/singapore/sale/property/jadescape-condo-n7kp5SVP6w9NwYXQgnDYdd#enquiry_position--12+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 JadeScape,16 Shunfu Rd , D20, 99 years,Condo,2023 ,1 Bed,"$1,100,000",1 Bath,"$2,087 psf",527 sqft ,https://www.99.co/singapore/sale/property/jadescape-condo-LmT2uas4JBX5yLgK6NSdib#enquiry_position--13+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 JadeScape,4 Shunfu Rd , D20, 99 years,Condo,2023 ,1 Bed,"$1,100,000",1 Bath,"$2,087 psf",527 sqft ,https://www.99.co/singapore/sale/property/jadescape-condo-es7uhn2FdCtgTmhB6b7FpA#enquiry_position--14+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 Thomson Grand,17 Sin Ming Walk , D20, 99 years,Condo,2015 ,4 Beds,unknown,5 Baths,unknown,"5,145 sqft ",https://www.99.co/singapore/sale/property/thomson-grand-condo-kvur4tqj52HqAzJSXoJzpq#enquiry_position--1+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 JadeScape,4 Shunfu Rd , D20, 99 years,Condo,2023 ,2 Beds,"$1,380,000",1 Bath,"$2,136 psf",646 sqft ,https://www.99.co/singapore/sale/property/jadescape-condo-kgKnRr9C3eWbfNrkpT4n9b#enquiry_position--15+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 AMO Residence,21 Ang Mo Kio Rise , D20, 99 years,Condo,2026 ,5 Beds,"$3,171,000",4 Baths,"$2,150 psf","1,475 sqft ",https://www.99.co/singapore/sale/property/amo-residence-condo-Ari9jGMCZmXHkXBaMeKvJL#enquiry_position--16+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 JadeScape,4 Shunfu Rd , D20, 99 years,Condo,2023 ,3 Beds,"$2,368,000",3 Baths,"$2,245 psf","1,055 sqft ",https://www.99.co/singapore/sale/property/jadescape-condo-bsfVfF3k6kccYTaEMoYvyu#enquiry_position--17+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 JadeScape,16 Shunfu Rd , D20, 99 years,Condo,2023 ,3 Beds,"$2,600,000",3 Baths,"$2,257 psf","1,152 sqft ",https://www.99.co/singapore/sale/property/jadescape-condo-RDvcobJV6WLSh9euLYMrao#enquiry_position--18+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 JadeScape,16 Shunfu Rd , D20, 99 years,Condo,2023 ,1 Bed,"$1,200,000",1 Bath,"$2,277 psf",527 sqft ,https://www.99.co/singapore/sale/property/jadescape-condo-X3XKH8nGNeoWfPkv6UwSue#enquiry_position--19+enquiry_source--Search+new_listing_filtered--true,2022-11-20
 Seasons Park,499 Yio Chu Kang Rd , D26, 99 years,Condo,1997 ,2 Beds,"$1,200,000",2 Baths,"$1,126 psf","1,066 sqft ",https://www.99.co/singapore/sale/property/seasons-park-condo-esD9oSKb3KuRcMJapLPZJL#enquiry_position--1+enquiry_source--Nearby_Listings,2022-11-20
 Seasons Park,491 Yio Chu Kang Rd , D26, 99 years,Condo,1997 ,2 Beds,"$1,300,000",2 Baths,"$1,172 psf","1,109 sqft ",https://www.99.co/singapore/sale/property/seasons-park-condo-DqLE2vj3UDWDQcp2eceTDh#enquiry_position--2+enquiry_source--Nearby_Listings,2022-11-20
 Meadows @ Peirce,626 Upp Thomson Rd , D26, Freehold,Condo,2012 ,2 Beds,"$1,990,000",2 Baths,"$1,658 psf","1,200 sqft ",https://www.99.co/singapore/sale/property/meadows-peirce-condo-fi2D7VMa87U2xR7uSBhoXH#enquiry_position--3+enquiry_source--Nearby_Listings,2022-11-20
 Meadows @ Peirce,626 Upp Thomson Rd , D26, Freehold,Condo,2012 ,3 Beds,"$2,300,000",3 Baths,"$1,811 psf","1,270 sqft ",https://www.99.co/singapore/sale/property/meadows-peirce-condo-UUVmtCDE9FwqxHyebr6nEZ#enquiry_position--4+enquiry_source--Nearby_Listings,2022-11-20
 The Scala,134 Serangoon Ave 3 , D19, 99 years,Condo,2014 ,2 Beds,"$1,600,000",2 Baths,"$1,882 psf",850 sqft ,https://www.99.co/singapore/sale/property/the-scala-condo-RhyxDyfpS6KCm3pMyVZvCA#enquiry_position--5+enquiry_source--Nearby_Listings,2022-11-20
 Gem Residences,3 Lor 5 Toa Payoh , D12, 99 years,Condo,2020 ,4 Beds,"$3,280,000",3 Baths,"$2,005 psf","1,636 sqft ",https://www.99.co/singapore/sale/property/gem-residences-condo-QvrdX4PB2rve3v7UDmrHBi#enquiry_position--6+enquiry_source--Nearby_Listings,2022-11-20
 Lentor Modern,5 Lentor Ctrl , D26, 99 years,Condo,2026 ,4 Beds,"$3,160,900",3 Baths,"$2,069 psf","1,528 sqft ",https://www.99.co/singapore/sale/property/lentor-modern-condo-RhN8MzrVEYKmQsokLLcJiN#enquiry_position--7+enquiry_source--Nearby_Listings,2022-11-20
